node,hydrostatic_stress
node_634,43622238.2
node_635,43561161.0
node_636,43498714.4
node_637,43435962.7
node_638,43373889.9
node_639,43313526.2
node_640,43256088.3
node_641,43125770.6
node_642,43351272.6
node_643,43514175.4
node_644,43624950.4
node_645,43693893.4
node_646,43730144.5
node_647,43741279.6
node_648,43733455.7
node_649,43711521.1
node_650,43679241.2
node_651,43639591.2
node_652,43594886.8
node_653,43547016.1
node_654,43497558.6
node_655,43447925.6
node_656,43399486.5
node_657,43353664.4
node_658,43312133.8
node_659,43031143.2
node_660,43235740.7
node_661,43391708.4
node_662,43504886.6
node_663,43581981.7
node_664,43629535.7
node_665,43653492.0
node_666,43658947.0
node_667,43650169.4
node_668,43630672.5
node_669,43603344.0
node_670,43570575.7
node_671,43534378.1
node_672,43496555.3
node_673,43458728.8
node_674,43422557.8
node_675,43389724.7
node_676,43362216.9
node_677,42987941.7
node_678,43167953.5
node_679,43311054.2
node_680,43419975.3
node_681,43498725.9
node_682,43551799.8
node_683,43583599.1
node_684,43598186.5
node_685,43599166.9
node_686,43589656.8
node_687,43572341.9
node_688,43549549.1
node_689,43523330.7
node_690,43495544.4
node_691,43467968.0
node_692,43442390.4
node_693,43420684.8
node_694,43405021.7
node_695,42981536.9
node_696,43136528.0
node_697,43263931.3
node_698,43364524.8
node_699,43440490.7
node_700,43494728.1
node_701,43530391.7
node_702,43550609.6
node_703,43558311.5
node_704,43556190.5
node_705,43546649.9
node_706,43531852.7
node_707,43513790.1
node_708,43494327.5
node_709,43475261.7
node_710,43458461.8
node_711,43445842.7
node_712,43439655.3
node_713,43001152.0
node_714,43132347.1
node_715,43243129.7
node_716,43333175.7
node_717,43403472.9
node_718,43455745.7
node_719,43492198.9
node_720,43515167.2
node_721,43526996.6
node_722,43529911.0
node_723,43526023.9
node_724,43517311.1
node_725,43505611.4
node_726,43492717.7
node_727,43480396.3
node_728,43470466.6
node_729,43464828.5
node_730,43465702.1
node_731,43038974.8
node_732,43148349.8
node_733,43242721.6
node_734,43321216.6
node_735,43384059.9
node_736,43432220.5
node_737,43467151.6
node_738,43490585.3
node_739,43504329.7
node_740,43510238.6
node_741,43510105.1
node_742,43505661.0
node_743,43498600.0
node_744,43490562.4
node_745,43483215.3
node_746,43478286.7
node_747,43477573.4
node_748,43483142.9
node_749,43089466.1
node_750,43179203.0
node_751,43257968.9
node_752,43324642.2
node_753,43379032.1
node_754,43421619.4
node_755,43453334.8
node_756,43475429.5
node_757,43489299.8
node_758,43496444.7
node_759,43498367.3
node_760,43496559.1
node_761,43492530.8
node_762,43487754.8
node_763,43483715.1
node_764,43482006.1
node_765,43484268.2
node_766,43492355.3
node_767,43148731.2
node_768,43220954.9
node_769,43285125.7
node_770,43340133.7
node_771,43385585.8
node_772,43421653.7
node_773,43448925.0
node_774,43468292.2
node_775,43480831.1
node_776,43487735.7
node_777,43490245.8
node_778,43489646.9
node_779,43487194.1
node_780,43484203.3
node_781,43481971.7
node_782,43481880.2
node_783,43485340.1
node_784,43493980.4
node_785,43214115.1
node_786,43270675.7
node_787,43321319.6
node_788,43365032.2
node_789,43401351.9
node_790,43430305.5
node_791,43452247.6
node_792,43467826.8
node_793,43477867.1
node_794,43483310.7
node_795,43485179.9
node_796,43484512.3
node_797,43482406.6
node_798,43479923.2
node_799,43478168.5
node_800,43478282.9
node_801,43481445.3
node_802,43488952.6
node_803,43283786.8
node_804,43326274.9
node_805,43364368.4
node_806,43397197.7
node_807,43424366.0
node_808,43445823.7
node_809,43461795.8
node_810,43472774.5
node_811,43479381.6
node_812,43482376.1
node_813,43482566.8
node_814,43480815.9
node_815,43477977.8
node_816,43474929.8
node_817,43472541.8
node_818,43471710.2
node_819,43473327.6
node_820,43478374.5
node_821,43356567.4
node_822,43386245.7
node_823,43412590.0
node_824,43434955.6
node_825,43453006.7
node_826,43466720.6
node_827,43476257.3
node_828,43481990.8
node_829,43484436.0
node_830,43484176.6
node_831,43481864.9
node_832,43478160.9
node_833,43473754.9
node_834,43469291.7
node_835,43465427.4
node_836,43462764.7
node_837,43461921.7
node_838,43463512.4
node_839,43431694.0
node_840,43449508.7
node_841,43464729.3
node_842,43476944.0
node_843,43485939.0
node_844,43491703.0
node_845,43494442.0
node_846,43494438.2
node_847,43492130.3
node_848,43487983.7
node_849,43482505.8
node_850,43476207.7
node_851,43469585.4
node_852,43463077.5
node_853,43457119.0
node_854,43452037.8
node_855,43448143.0
node_856,43445671.1
node_857,43508728.0
node_858,43515327.5
node_859,43519863.1
node_860,43522110.0
node_861,43522014.6
node_862,43519672.4
node_863,43515289.3
node_864,43509143.8
node_865,43501617.4
node_866,43493087.8
node_867,43483936.3
node_868,43474559.8
node_869,43465274.8
node_870,43456340.8
node_871,43447944.6
node_872,43440158.8
node_873,43432975.8
node_874,43426258.1
node_875,43587432.9
node_876,43583194.7
node_877,43577243.8
node_878,43569572.4
node_879,43560318.0
node_880,43549655.9
node_881,43537845.6
node_882,43525215.1
node_883,43512088.8
node_884,43498775.5
node_885,43485603.3
node_886,43472816.5
node_887,43460601.8
node_888,43449050.9
node_889,43438140.9
node_890,43427681.0
node_891,43417343.1
node_892,43406589.5
node_893,43667732.2
node_894,43652755.7
node_895,43636299.1
node_896,43618621.8
node_897,43599998.5
node_898,43580745.7
node_899,43561229.7
node_900,43541774.7
node_901,43522708.9
node_902,43504337.3
node_903,43486873.6
node_904,43470504.8
node_905,43455268.9
node_906,43441131.6
node_907,43427867.9
node_908,43415054.3
node_909,43402069.1
node_910,43387970.0
node_911,43749656.7
node_912,43723758.7
node_913,43696567.5
node_914,43668586.7
