
                     X                  Cbar_L_Point_A           Cbar_L_Point_B           Cbar_L_Point_C    
                 498.5E+03                 21.4158821               20.0002995               18.675993      
                 508.5E+03                 21.4177723               20.0003071               18.6743832     
                 518.5E+03                 21.4195824               20.0003128               18.6728477     
                 528.5E+03                 21.4213104               20.0003223               18.6713848     
                 538.5E+03                 21.4229584               20.0003281               18.6699886     
                 548.5E+03                 21.4245472               20.0003319               18.668644      
                 558.5E+03                 21.4260654               20.0003395               18.6673641     
                 568.5E+03                 21.427515                20.000349                18.6661396     
                 578.5E+03                 21.428915                20.0003529               18.6649666     
                 588.5E+03                 21.4302483               20.0003624               18.6638451     
                 598.5E+03                 21.4315338               20.0003681               18.6627674     
                 608.5E+03                 21.432766                20.0003757               18.6617317     
                 618.5E+03                 21.4339485               20.0003815               18.660738      
                 628.5E+03                 21.4350872               20.0003891               18.6597919     
                 638.5E+03                 21.4361858               20.0003967               18.6588745     
                 648.5E+03                 21.4372406               20.0004044               18.6579971     
                 658.5E+03                 21.4382591               20.0004101               18.6571503     
                 668.5E+03                 21.4392319               20.0004158               18.6563416     
                 678.5E+03                 21.440176                20.0004234               18.6555614     
                 688.5E+03                 21.441082                20.0004311               18.6548061     
                 698.5E+03                 21.4419556               20.0004387               18.6540833     
                 708.5E+03                 21.4428043               20.0004444               18.6533852     
                 718.5E+03                 21.4436188               20.000452                18.6527157     
                 728.5E+03                 21.4444046               20.0004559               18.6520729     
                 738.5E+03                 21.4451637               20.0004616               18.6514454     
                 748.5E+03                 21.4459                  20.0004711               18.6508427     
                 758.5E+03                 21.4466057               20.0004768               18.6502647     
                 768.5E+03                 21.4472961               20.0004845               18.6497059     
                 778.5E+03                 21.4479561               20.0004902               18.6491623     
                 788.5E+03                 21.4485931               20.0004978               18.6486416     
                 798.5E+03                 21.4492149               20.0005035               18.64814       
                 808.5E+03                 21.4498196               20.0005112               18.6476479     
                 818.5E+03                 21.4503956               20.0005188               18.6471767     
                 828.5E+03                 21.4509602               20.0005264               18.646719      
                 838.5E+03                 21.4515095               20.0005322               18.6462841     
                 848.5E+03                 21.4520378               20.0005398               18.6458492     
                 858.5E+03                 21.4525509               20.0005455               18.645443      
                 868.5E+03                 21.4530468               20.000555                18.6450424     
                 878.5E+03                 21.4535275               20.0005608               18.6446514     
                 888.5E+03                 21.4539986               20.0005665               18.6442757     
                 898.5E+03                 21.4544525               20.0005722               18.6439095     
                 908.5E+03                 21.4548988               20.0005798               18.6435585     
                 918.5E+03                 21.4553261               20.0005856               18.643219      
                 928.5E+03                 21.45574                 20.0005932               18.6428852     
                 938.5E+03                 21.4561424               20.0005989               18.6425667     
                 948.5E+03                 21.4565392               20.0006046               18.6422501     
                 958.5E+03                 21.4569168               20.0006142               18.6419487     
                 968.5E+03                 21.4572906               20.0006218               18.6416607     
                 978.5E+03                 21.457655                20.0006256               18.6413708     
                 988.5E+03                 21.4580059               20.0006332               18.6410923     
                 998.5E+03                 21.4583473               20.0006409               18.6408215     
                   1.E+06                  21.4583969               20.0006409               18.6407795     




