
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                  31.E+03                  24.8942795               25.1523666              258.091675E-03            37.2988319E-03          430.988068E-03            -7.72109175E+06           3.98562002E+06           1.02736211E+09         505.122162E+06           896.447205E+06             1.62761891E-03          -2.33733153E-03          51.8130531E-06            4.39070797E-03         996.149719E-06           -32.5867157E-03         -148.859116E-06            33.5828667E-03         -996.149719E-06           -34.9240532E-03          -97.0463715E-06           37.9735756E-03            0.                     508.254364E+06           746.076782E+12            27.0451317E-06           41.9195824E-03 
                  32.E+03                  24.8449936               25.1136074              268.615448E-03            38.8926048E-03          432.114471E-03            -7.79363632E+06           4.04913425E+06           1.03542829E+09         509.24411E+06            903.495544E+06             1.59377241E-03          -2.35597682E-03          52.6386414E-06            4.4249649E-03            1.00476849E-03         -33.9979591E-03         -143.826248E-06            35.0027275E-03           -1.00476849E-03         -36.3539314E-03          -91.1867218E-06           39.4276962E-03            0.                     512.292969E+06           777.952209E+12            26.9915943E-06           41.8400955E-03 
                  33.E+03                  24.7980118               25.0769176              278.905731E-03            40.4550209E-03          433.188324E-03            -7.86391211E+06           4.11172199E+06           1.04309559E+09         513.156677E+06           910.19635E+06              1.56240404E-03          -2.37369823E-03          53.4524422E-06            4.45753908E-03           1.012936E-03           -35.381588E-03          -138.348907E-06            36.3945198E-03           -1.012936E-03           -37.7552795E-03          -84.8963394E-06           40.8520622E-03            0.                     516.129456E+06           809.200317E+12            26.9405537E-06           41.7643127E-03 
                  34.E+03                  24.7531281               25.0421371              289.004974E-03            41.9919624E-03          434.214172E-03            -7.93189192E+06           4.17375374E+06           1.05042124E+09         516.890381E+06           916.599609E+06             1.53694654E-03          -2.39062738E-03          54.258709E-06             4.4886694E-03            1.02071738E-03         -36.7428055E-03         -132.44339E-06             37.7635269E-03           -1.02071738E-03         -39.1334343E-03          -78.1840668E-06           42.2521896E-03            0.                     519.793274E+06           839.939148E+12            26.8917923E-06           41.6918983E-03 
                  35.E+03                  24.7101784               25.0091171              298.940674E-03            43.5072174E-03          435.195984E-03            -7.99903202E+06           4.23505402E+06           1.05744553E+09         520.466064E+06           922.741028E+06             1.51525486E-03          -2.4068625E-03           55.0557137E-06            4.51852703E-03           1.02816105E-03         -38.0849266E-03         -126.183495E-06            39.1130867E-03           -1.02816105E-03         -40.4917984E-03          -71.1269684E-06           43.6316185E-03            0.                     523.304199E+06           870.244385E+12            26.845129E-06            41.6225853E-03 
                  36.E+03                  24.6690331               24.9777756              308.741028E-03            45.0046539E-03          436.136475E-03            -8.06462002E+06           4.29667568E+06           1.06420517E+09         523.903748E+06           928.6521E+06               1.49744189E-03          -2.42248678E-03          55.8569412E-06            4.54726744E-03           1.03530753E-03         -39.411377E-03          -119.616508E-06            40.446682E-03            -1.03530753E-03         -41.8338623E-03          -63.7599754E-06           44.9939461E-03            0.                     526.681458E+06           900.193054E+12            26.8004227E-06           41.5561829E-03 
                  37.E+03                  24.6295471               24.9479713              318.420532E-03            46.4862404E-03          437.03891E-03             -8.1289959E+06            4.35840559E+06           1.07072544E+09         527.216492E+06           934.354797E+06             1.48158586E-03          -2.43755746E-03          56.6593971E-06            4.57499647E-03           1.04218721E-03         -40.7238579E-03         -112.781532E-06            41.7660484E-03           -1.04218721E-03         -43.1614151E-03          -56.1217308E-06           46.3410454E-03            0.                     529.937561E+06           929.824768E+12            26.757534E-06            41.4924622E-03 
                  38.E+03                  24.5916367               24.9196434              328.006195E-03            47.95578E-03            437.905426E-03            -8.19232464E+06           4.42060614E+06           1.07703614E+09         530.419739E+06           939.875122E+06             1.46953595E-03          -2.45214558E-03          57.4680443E-06            4.60183907E-03           1.04883337E-03         -42.0257378E-03         -105.693939E-06            43.0745773E-03           -1.04883337E-03         -44.4778824E-03          -48.2255135E-06           47.676403E-03             0.                     533.087891E+06           959.215698E+12            26.7163486E-06           41.431263E-03  
                  39.E+03                  24.5551929               24.8926926              337.502136E-03            49.4137115E-03          438.738525E-03            -8.25511265E+06           4.48168421E+06           1.08315086E+09         533.521057E+06           945.225403E+06             1.45793009E-03          -2.4662838E-03           58.2618828E-06            4.6278553E-03            1.05526209E-03         -43.3173943E-03          -98.3921356E-06           44.372654E-03            -1.05526209E-03         -45.7836838E-03          -40.1302223E-06           49.000515E-03             0.                     536.138977E+06           988.374146E+12            26.676754E-06            41.3724213E-03 
                  40.E+03                  24.520155                24.8670807              346.921967E-03            50.8618774E-03          439.539368E-03            -8.31701946E+06           4.54152012E+06           1.0890882E+09          536.530029E+06           950.421265E+06             1.44816697E-03          -2.48001266E-03          59.0396805E-06            4.65312147E-03           1.06149328E-03         -44.6004562E-03          -90.8900909E-06           45.6619453E-03           -1.06149328E-03         -47.0804634E-03          -31.8495998E-06           50.3150673E-03            0.                     539.100586E+06             1.01733756E+15          26.6386833E-06           41.3158417E-03 
                  41.E+03                  24.4864273               24.8427086              356.281067E-03            52.3024178E-03          440.310303E-03            -8.37847137E+06           4.600214E+06             1.09486592E+09         539.45575E+06            955.478516E+06             1.44054186E-03          -2.4933753E-03           59.8028107E-06            4.67771339E-03           1.0675478E-03          -45.8768005E-03          -83.1740952E-06           46.9443588E-03           -1.0675478E-03          -48.3701744E-03          -23.3717728E-06           51.6220627E-03            0.                     541.981079E+06             1.04614842E+15          26.6020508E-06           41.2613831E-03 
                  42.E+03                  24.4539337               24.8195267              365.588776E-03            53.7366524E-03          441.05304E-03             -8.43958378E+06           4.65760612E+06           1.10049653E+09         542.304932E+06           960.408081E+06             1.4342382E-03           -2.50640011E-03          60.5487747E-06            4.70168447E-03           1.07343936E-03         -47.1476097E-03          -75.2627411E-06           48.2210503E-03           -1.07343936E-03         -49.654007E-03           -14.7141981E-06           52.9227409E-03            0.                     544.787292E+06             1.07483304E+15          26.5667439E-06           41.2088966E-03 
                  43.E+03                  24.4226055               24.7974472              374.843781E-03            55.1643143E-03          441.769104E-03            -8.50041962E+06           4.71344566E+06           1.10598624E+09         545.080811E+06           965.215332E+06             1.42765427E-03          -2.51910305E-03          61.2748566E-06            4.72506189E-03           1.07917535E-03         -48.4126091E-03          -67.207962E-06            49.491787E-03            -1.07917535E-03         -50.9317207E-03           -5.93368912E-06          54.2168579E-03            0.                     547.522278E+06             1.10338628E+15          26.5327053E-06           41.1582947E-03 
                  44.E+03                  24.3923817               24.7764435              384.060669E-03            56.5874176E-03          442.459839E-03            -8.56099987E+06           4.76771784E+06           1.11134946E+09         547.791016E+06           969.91272E+06              1.4231075E-03           -2.53151536E-03          61.9804497E-06            4.74790239E-03           1.08477175E-03         -49.6736183E-03          -59.0065041E-06           50.7584E-03              -1.08477175E-03         -52.2051392E-03            2.97301459E-06          55.5063019E-03            0.                     550.193115E+06             1.13184834E+15          26.4998779E-06           41.1094742E-03 
