
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                   7.07088041E-03          27.5599823               27.573616                13.6334343E-03            1.79200637E-03         370.057556E-03           354.011169E+06            -2.49198437E+03         612.905945E+06           434.281372E+06           229.539246E+06            31.6382866E-06          199.274796E-06           -32.3957481E-09            1.88209081E-03         721.031189E-06            -1.04121804E-03         -75.3134308E-09            1.76224911E-03        -721.031189E-06          -841.943115E-06          -107.710548E-09             3.64434004E-03           0.                     467.066162E+06            35.9401321E+12           29.9411564E-06           46.1989059E-03 
                   7.32069826E-03          27.4791565               27.4908333               11.6761389E-03            1.53894866E-03         371.904968E-03           353.763458E+06             2.12290621E+03         606.746521E+06           423.170074E+06           226.404526E+06            27.0658817E-06          223.942368E-06            27.5983887E-09            1.86833215E-03         675.08551E-06           -846.309021E-06           -55.2672615E-09            1.52139449E-03        -675.08551E-06           -622.366638E-06           -27.6686478E-09            3.38972688E-03           0.                     461.226654E+06            30.8789749E+12           29.8533497E-06           46.0696793E-03 
                   7.57056093E-03          27.3987274               27.4090004               10.2710724E-03            1.35642564E-03         373.743408E-03           352.585144E+06             7.17481232E+03         599.67218E+06            411.241852E+06           223.60524E+06             23.7404785E-06          246.554794E-06            93.2727661E-09            1.85262036E-03         627.823059E-06          -715.626648E-06           -60.069397E-09             1.34344971E-03        -627.823059E-06          -469.071899E-06            33.2038345E-09            3.19607019E-03           0.                     454.499725E+06            27.2285156E+12           29.7659664E-06           45.9410019E-03 
                   7.8204608E-03           27.3182983               27.3271561                8.86177254E-03           1.17335463E-03         375.581787E-03           351.392975E+06            12.4548283E+03          592.571228E+06           399.309387E+06           221.148315E+06            20.4077282E-06          269.143768E-06           161.911652E-09             1.83680296E-03         580.600708E-06          -584.478271E-06           -63.1084671E-09            1.165079E-03          -580.600708E-06          -315.334595E-06            98.8052368E-09            3.00188184E-03           0.                     447.757874E+06            23.567091E+12            29.6785908E-06           45.8123322E-03 
                   8.07039452E-03          27.246973                27.2548313                7.85800266E-03           1.04213178E-03         377.212097E-03           349.423096E+06            14.8900623E+03          584.924438E+06           387.629669E+06           218.913025E+06            18.0286274E-06          288.284485E-06           193.571396E-09             1.81904304E-03         536.626892E-06          -498.370392E-06           -69.2261887E-09            1.03499734E-03        -536.626892E-06          -210.085938E-06           124.341576E-09             2.85404038E-03           0.                     440.659058E+06            20.9426327E+12           29.6011028E-06           45.6981659E-03 
                   8.32035351E-03          27.1756477               27.1825008                6.85213804E-03         910.650269E-06           378.842316E-03           347.451233E+06            15.3447657E+03          577.282715E+06           375.976196E+06           216.979843E+06            15.6456385E-06          307.367767E-06           199.482666E-09             1.80127239E-03         492.779816E-06          -411.97113E-06            -92.9178467E-09          904.750916E-06          -492.779816E-06          -104.603355E-06           106.564583E-09             2.70602369E-03           0.                     433.569977E+06            18.3130074E+12           29.5236168E-06           45.5840073E-03 
                   8.57033253E-03          27.1192245               27.1253586                6.13668919E-03         816.455261E-06           380.13208E-03            344.920715E+06            18.6599998E+03          569.592163E+06           365.316223E+06           215.199829E+06            13.9728765E-06          322.240906E-06           242.580429E-09             1.78260517E-03         454.81189E-06           -355.700653E-06           -84.1118927E-09          810.512573E-06          -454.81189E-06            -33.4596786E-06          158.470367E-09             2.59311771E-03           0.                     426.60968E+06             16.4291039E+12           29.4623127E-06           45.4936562E-03 
                   8.82033253E-03          27.0627975               27.0682144                5.41909122E-03         721.992676E-06           381.421844E-03           342.391388E+06            21.384922E+03           561.911682E+06           354.674683E+06           213.643707E+06            12.2958536E-06          337.077362E-06           278.003418E-09             1.76395929E-03         416.918732E-06          -299.142456E-06           -79.6421814E-09          716.061096E-06          -416.918732E-06            37.934906E-06           198.361252E-09             2.48002076E-03           0.                     419.659241E+06            14.539855E+12            29.4010143E-06           45.4033012E-03 
                   9.07034779E-03          27.0229034               27.0278091                4.90497923E-03         653.831116E-06           382.333618E-03           339.549866E+06            19.9992504E+03          554.603577E+06           345.364532E+06           212.206131E+06            11.1379852E-06          347.797089E-06           259.990906E-09             1.74564624E-03         385.592773E-06          -262.042175E-06           -85.6634903E-09          647.63501E-06           -385.592773E-06            85.7549286E-06          174.330124E-09             2.39328098E-03           0.                     413.172729E+06            13.1766233E+12           29.3576756E-06           45.3394051E-03 
                   9.32037449E-03          26.983017                26.9874058                4.38967323E-03         585.524231E-06           383.245392E-03           336.713226E+06            20.9724998E+03          547.312317E+06           336.072968E+06           210.919968E+06             9.97799015E-06         358.488251E-06           272.642883E-09             1.72738242E-03         354.326172E-06          -224.761551E-06           -74.1010818E-09          579.087708E-06          -354.326172E-06           133.726746E-06           198.54451E-09              2.30647016E-03           0.                     406.699493E+06            11.8104877E+12           29.3143425E-06           45.2755089E-03 
