
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.5374999E+03           18.0759983E-03          419.254333E+06             1.00069511E+09           1.07831752E+09         418.963196E-03           702.681641E-03            10.3728104                8.70546913               1.66734266               1.32330787               1.11059701             212.710724E-03           361.53006E+12            924.605225E-03           176.436508E-03  
                   7.54425001E+03          19.8254032E-03          421.349182E+06             1.00954378E+09           1.08655643E+09         417.365997E-03           708.52948E-03             10.3789539                8.70419693               1.67475867               1.32409155               1.11043477             213.656754E-03           396.517975E+12           924.646301E-03           176.406219E-03  
                   7.55100012E+03          21.9825764E-03          424.404205E+06             1.01508737E+09           1.09313846E+09         418.096375E-03           706.179138E-03            10.3861694                8.70232201               1.68384624               1.32501233               1.11019576             214.816162E-03           439.66156E+12            924.694763E-03           176.370743E-03  
                   7.55775023E+03          24.3601131E-03          429.510651E+06             1.0206759E+09            1.10137069E+09         420.810059E-03           696.176514E-03            10.3939819                8.70014477               1.69383764               1.32600856               1.10991776             216.09082E-03            487.212219E+12           924.746948E-03           176.332321E-03  
                   7.56449986E+03          26.8319302E-03          435.234406E+06             1.02648604E+09           1.11023068E+09         424.004242E-03           684.285217E-03            10.4023294                8.69807434               1.70425498               1.32707381               1.10965383             217.419754E-03           536.648499E+12           924.802734E-03           176.291336E-03  
                   7.57124996E+03          29.526371E-03           440.121796E+06             1.03281963E+09           1.11881351E+09         426.136078E-03           676.465759E-03            10.4114971                8.69588184               1.71561563               1.32824349               1.10937417             218.869202E-03           590.537415E+12           924.864014E-03           176.246445E-03  
                   7.57800007E+03          32.8636322E-03          443.675018E+06             1.03744817E+09           1.12509871E+09         427.659943E-03           671.362427E-03            10.4224157                8.69280434               1.72961378               1.32963645               1.10898125             220.654907E-03           657.282776E+12           924.936401E-03           176.193085E-03  
                   7.58475018E+03          36.7206116E-03          447.794861E+06             1.04218328E+09           1.13188243E+09         429.670013E-03           664.23468E-03             10.4346409                8.68892384               1.74571919               1.33119583               1.10848641             222.709549E-03           734.421997E+12           925.017517E-03           176.133453E-03  
                   7.59149981E+03          40.8559952E-03          451.515259E+06             1.04684567E+09           1.13829875E+09         431.310181E-03           658.535889E-03            10.44841                  8.6853323                1.76307702               1.33295214               1.10802817             224.923965E-03           817.130005E+12           925.108704E-03           176.066498E-03  
                   7.59824991E+03          45.7233925E-03          455.84671E+06              1.05046558E+09           1.14439571E+09         433.947174E-03           649.22998E-03             10.465107                 8.68153954               1.78357005               1.33508253               1.10754406             227.538406E-03           914.477905E+12           925.219299E-03           175.985458E-03  
                   7.60500002E+03          51.3374748E-03          460.513763E+06             1.05434716E+09           1.15092862E+09         436.776215E-03           639.165466E-03            10.4839258                8.67681026               1.80711746               1.33748353               1.10694087             230.542404E-03             1.02675939E+15         925.342957E-03           175.894485E-03  
                   7.61175013E+03          57.771286E-03           464.806274E+06             1.05771923E+09           1.15677249E+09         439.442139E-03           629.651428E-03            10.5037136                8.6699276                1.83378637               1.34000766               1.10606301             233.944733E-03             1.15543592E+15         925.472534E-03           175.799316E-03  




