
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.47783995E+03          21.209383E-03           353.986206E+06             1.01326966E+09           1.029158E+09           349.351257E-03           941.736938E-03            10.4012594                8.71801853               1.68324256               1.32693756               1.11219811             214.739151E-03           424.197693E+12           924.796082E-03           176.296234E-03  
                   7.48388004E+03          26.1533031E-03          360.92276E+06              1.0248909E+09            1.04392147E+09         352.158386E-03           950.591614E-03            10.416976                 8.71300793               1.70396924               1.3289423                1.11155903             217.383362E-03           523.07605E+12            924.900879E-03           176.219193E-03  
                   7.48992014E+03          31.8646355E-03          365.048431E+06             1.03622198E+09           1.05558157E+09         352.288452E-03           948.996704E-03            10.4352179                8.70731735               1.7279017                1.33126962               1.11083305             220.436523E-03           637.302734E+12           925.022217E-03           176.130142E-03  
                   7.49595976E+03          38.0782433E-03          366.162201E+06             1.04384995E+09           1.06171E+09            350.781067E-03           942.411072E-03            10.4551554                8.70123291               1.75392365               1.33381295               1.11005676             223.756256E-03           761.574951E+12           925.154236E-03           176.033157E-03  
                   7.50199986E+03          44.6465874E-03          365.994171E+06             1.04966462E+09           1.06531477E+09         348.677551E-03           933.747803E-03            10.4762411                8.69484329               1.78139949               1.33650291               1.1092416              227.261459E-03           892.941833E+12           925.293274E-03           175.931046E-03  
                   7.50803995E+03          51.5931129E-03          365.593628E+06             1.05448091E+09           1.06801915E+09         346.704987E-03           925.971069E-03            10.4985065                8.68809319               1.81041527               1.33934391               1.10838079             230.963165E-03             1.03187227E+15         925.439392E-03           175.823685E-03  
                   7.51408005E+03          58.9918098E-03          365.548492E+06             1.05833173E+09           1.07046068E+09         345.400818E-03           920.662048E-03            10.522253                 8.68096924               1.84128284               1.34237313               1.10747182             234.901108E-03             1.17984605E+15         925.594482E-03           175.709717E-03  
                   7.52012014E+03          66.9103012E-03          365.733765E+06             1.06176364E+09           1.07286966E+09         344.458923E-03           916.671021E-03            10.5478439                8.67354202               1.87430263               1.34563756               1.10652435             239.113541E-03             1.33821583E+15         925.760986E-03           175.587524E-03  
                   7.52616024E+03          75.376915E-03           365.864807E+06             1.06497049E+09           1.07507217E+09         343.54483E-03            912.797729E-03            10.5754194                8.66583061               1.90959179               1.3491559                1.10554028             243.615524E-03             1.50754845E+15         925.939392E-03           175.456528E-03  
                   7.53220034E+03          84.4106979E-03          366.029602E+06             1.06803548E+09           1.07721591E+09         342.712952E-03           909.233032E-03            10.605093                 8.65786457               1.94722939               1.35294116               1.10452414             248.417175E-03             1.68822396E+15         926.130432E-03           175.316376E-03  
                   7.53824043E+03          94.0357132E-03          366.392365E+06             1.07101703E+09           1.07951331E+09         342.097687E-03           906.413635E-03            10.6369886                8.64967155               1.98731625               1.35701036               1.10347903             253.531281E-03             1.88072407E+15         926.334412E-03           175.166565E-03  
                   7.54427958E+03         104.167511E-03           367.001526E+06             1.07387388E+09           1.08198678E+09         341.754822E-03           904.349792E-03            10.6708708                8.64136887               2.02950144               1.36133277               1.10241961             258.912994E-03             2.08336067E+15         926.549988E-03           175.008362E-03  
                   7.55031967E+03         114.928436E-03           368.039734E+06             1.07670987E+09           1.08489823E+09         341.818726E-03           903.5755E-03              10.7073793                8.63305473               2.07432747               1.3659904                1.10135889             264.631683E-03             2.29857874E+15         926.780579E-03           174.839005E-03  
                   7.55635977E+03         126.25106E-03            369.187042E+06             1.07963586E+09           1.08798146E+09         341.955231E-03           902.926697E-03            10.7462759                8.62477016               2.12150574               1.37095261               1.10030234             270.650452E-03             2.52503109E+15         927.024719E-03           174.65979E-03   
                   7.56239986E+03         138.144196E-03           370.373505E+06             1.08240783E+09           1.09100366E+09         342.175659E-03           902.393433E-03            10.7875948                8.61652565               2.17106867               1.37622368               1.09925044             276.973389E-03             2.76289439E+15         927.282349E-03           174.47081E-03   
                   7.56843996E+03         150.728531E-03           371.870087E+06             1.08528352E+09           1.09441626E+09         342.648163E-03           902.46521E-03             10.8316708                8.60817528               2.22349739               1.38184702               1.09818506             283.661987E-03             3.01458025E+15         927.555115E-03           174.270676E-03  
                   7.57448006E+03         164.260208E-03           373.941925E+06             1.0881238E+09            1.09840453E+09         343.657684E-03           903.780457E-03            10.8792124                8.59940434               2.27980971               1.38791227               1.09706604             290.846008E-03             3.2852149E+15          927.846924E-03           174.056641E-03  
                   7.58052015E+03         178.940536E-03           376.553558E+06             1.09111118E+09           1.10304809E+09         345.110138E-03           906.061768E-03            10.9308882                8.59007263               2.34081769               1.39450467               1.09587562             298.62912E-03              3.57882094E+15         928.161316E-03           173.825989E-03  
                   7.58656025E+03         194.576843E-03           379.244385E+06             1.09408724E+09           1.10776138E+09         346.630707E-03           908.270081E-03            10.9863749                8.58060265               2.40577316               1.40158331               1.09466743             306.91571E-03              3.89154744E+15         928.495911E-03           173.580673E-03  
                   7.59259987E+03         211.145844E-03           382.044556E+06             1.09708011E+09           1.11259258E+09         348.237732E-03           910.362671E-03            11.0456791                8.57109451               2.47458553               1.40914893               1.09345436             315.694519E-03             4.22292757E+15         928.849854E-03           173.321045E-03  
                   7.59863997E+03         228.757492E-03           385.099121E+06             1.1001327E+09            1.11772084E+09         350.047913E-03           912.634521E-03            11.1091347                8.56144905               2.54768586               1.41724432               1.09222412             325.020264E-03             4.5751605E+15          929.224915E-03           173.046158E-03  
                   7.60468006E+03         247.666641E-03           388.640839E+06             1.10323024E+09           1.12337661E+09         352.275238E-03           915.569092E-03            11.1774874                8.55141258               2.62607718               1.42596424               1.09094334             335.020935E-03             4.95334291E+15         929.624268E-03           172.753342E-03  
                   7.61072016E+03         267.796021E-03           392.490051E+06             1.1063565E+09            1.12936175E+09         354.759247E-03           918.73999E-03             11.2507372                8.54125977               2.70947862               1.43530917               1.08964837             345.660858E-03             5.35593128E+15         930.047363E-03           172.443314E-03  
                   7.61675978E+03         288.994324E-03           396.511322E+06             1.10950029E+09           1.13553047E+09         357.378296E-03           921.952332E-03            11.3287592                8.53141308               2.79734826               1.44526291               1.08839202             356.870819E-03             5.77989483E+15         930.492432E-03           172.117096E-03  
                   7.62279987E+03         311.585327E-03           400.998566E+06             1.11269867E+09           1.14220583E+09         360.383759E-03           925.595703E-03            11.4124365                8.52149296               2.89094472               1.45593786               1.08712661             368.811432E-03             6.23171568E+15         930.963867E-03           171.771881E-03  
                   7.62883997E+03         335.367828E-03           405.804871E+06             1.11591208E+09           1.14921224E+09         363.653046E-03           929.523254E-03            11.5013418                8.51184368               2.98949957               1.46728015               1.08589566             381.38446E-03              6.7073679E+15          931.45752E-03            171.410217E-03  
                   7.63488007E+03         360.210571E-03           410.879059E+06             1.11911821E+09           1.15648317E+09         367.145416E-03           933.692322E-03            11.5952711                8.50273705               3.09253502               1.47926331               1.08473372             394.529236E-03             7.2042222E+15          931.97168E-03            171.03363E-03   
                   7.64091969E+03         386.084106E-03           416.220581E+06             1.12231171E+09           1.16401267E+09         370.860138E-03           938.053833E-03            11.6941833                8.49423122               3.19995308               1.49188173               1.08364868             408.233002E-03             7.72169256E+15         932.50531E-03            170.64299E-03   
                   7.64695978E+03         412.901611E-03           421.806702E+06             1.12548292E+09           1.17177093E+09         374.778351E-03           942.590637E-03            11.7979164                8.48647213               3.31144738               1.50511563               1.08265877             422.456787E-03             8.25804329E+15         933.056152E-03           170.239731E-03  
                   7.65299988E+03         440.65274E-03            427.667084E+06             1.12863111E+09           1.17978704E+09         378.925323E-03           947.325378E-03            11.906414                 8.47943306               3.4269824                1.5189569                1.08176076             437.196106E-03             8.81306458E+15         933.623291E-03           169.824814E-03  
                   7.65903997E+03         469.318878E-03           433.797058E+06             1.13175702E+09           1.18805516E+09         383.29538E-03            952.179382E-03            12.0197287                8.47319889               3.54653144               1.53341305               1.08096552             452.447601E-03             9.38638592E+15         934.205627E-03           169.398773E-03  
                   7.66508007E+03         498.895081E-03           440.202148E+06             1.13485813E+09           1.19657779E+09         387.891693E-03           957.090454E-03            12.1397209                8.47178173               3.6679399                1.54872096               1.0807848              467.93631E-03              9.96035767E+15         934.813965E-03           168.953751E-03  
                   7.67112017E+03         529.375732E-03           446.882751E+06             1.13793087E+09           1.20535254E+09         392.71524E-03            961.941162E-03            12.1787033                8.49352551               3.68518209               1.55369401               1.08355856             470.135712E-03            10.000001E+15           935.018311E-03           168.80426E-03   
                   7.67716026E+03         560.768616E-03           453.824036E+06             1.14097965E+09           1.21436405E+09         397.749451E-03           966.52063E-03             12.2150135                8.51928425               3.69573259               1.55832648               1.0868448              471.481812E-03            10.000001E+15           935.207642E-03           168.66568E-03   
