
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.39424992E+03           0.                     238.26265E+06            519.766296E+06           575.282227E+06           458.403595E-03           551.955994E-03            10.3161297                8.72455502               1.59157503               1.31607652               1.11303198             203.0448E-03              10.0000038E+09          924.222717E-03           176.71756E-03   
                   7.39979982E+03           0.                     245.960953E+06           534.982483E+06           592.613525E+06           459.755127E-03           546.617065E-03            10.3161354                8.72456169               1.59157622               1.31607759               1.1130327              203.044876E-03            10.0000038E+09          924.222717E-03           176.717545E-03  
                   7.40535021E+03           0.                     253.901581E+06           550.379395E+06           610.248779E+06           461.321075E-03           540.413635E-03            10.316144                 8.72456646               1.59157717               1.31607842               1.11303353             203.045044E-03            10.0000038E+09          924.222778E-03           176.717529E-03  
                   7.41090012E+03           0.                     262.113525E+06           565.997864E+06           628.237549E+06           463.099609E-03           533.344238E-03            10.3161478                8.72457123               1.59157813               1.31607926               1.11303437             203.045135E-03            10.0000038E+09          924.222778E-03           176.717499E-03  
                   7.41645002E+03           0.                     270.631165E+06           581.893372E+06           646.64447E+06            465.087189E-03           525.414062E-03            10.3161554                8.7245779                1.59157908               1.31608021               1.11303496             203.045288E-03            10.0000038E+09          924.222839E-03           176.717484E-03  
                   7.42199993E+03           0.                     279.494476E+06           598.121155E+06           665.537354E+06           467.287476E-03           516.597229E-03            10.3161621                8.72458458               1.59158003               1.31608117               1.1130358              203.04538E-03             10.0000038E+09          924.222839E-03           176.717438E-03  
                   7.42754984E+03           0.                     288.753937E+06           614.754822E+06           685.004089E+06           469.705902E-03           506.86026E-03             10.3161697                8.7245903                1.59158099               1.31608212               1.11303639             203.045547E-03            10.0000038E+09          924.222961E-03           176.717407E-03  
                   7.43310022E+03           0.                     298.469788E+06           631.885437E+06           705.153015E+06           472.3479E-03             496.165955E-03            10.3161774                8.72459412               1.59158194               1.31608272               1.11303723             203.04567E-03             10.0000038E+09          924.222961E-03           176.717331E-03  
                   7.43865013E+03           0.                     308.723511E+06           649.630188E+06           726.125671E+06           475.229706E-03           484.432129E-03            10.3161821                8.72460079               1.59158289               1.31608379               1.11303794             203.045792E-03            10.0000038E+09          924.222961E-03           176.717316E-03  
                   7.44420004E+03           0.                     319.621185E+06           668.145569E+06           748.109497E+06           478.370605E-03           471.559113E-03            10.3161898                8.72460651               1.59158385               1.3160845                1.11303854             203.045883E-03            10.0000038E+09          924.223022E-03           176.717316E-03  
                   7.44974995E+03           0.                     331.312805E+06           687.650879E+06           771.368225E+06           481.803711E-03           457.385162E-03            10.3161936                8.72461128               1.5915848                1.31608522               1.11303926             203.045975E-03            10.0000038E+09          924.223022E-03           176.717285E-03  
                   7.45529985E+03           0.                     344.017303E+06           708.483398E+06           796.302979E+06           485.568481E-03           441.713837E-03            10.3162003                8.724617                 1.59158564               1.31608593               1.11303997             203.046082E-03            10.0000038E+09          924.223083E-03           176.71727E-03   
                   7.46085024E+03           0.                     358.075989E+06           731.18512E+06            823.551819E+06           489.719849E-03           424.272247E-03            10.3162069                8.72462177               1.59158647               1.31608677               1.11304069             203.046188E-03            10.0000038E+09          924.223328E-03           176.717209E-03  
                   7.46639967E+03           0.                     374.093597E+06           756.792419E+06           854.315491E+06           494.314606E-03           404.761139E-03            10.3162117                8.72462654               1.59158719               1.31608748               1.11304128             203.04631E-03             10.0000038E+09          924.22345E-03            176.717178E-03  
                   7.47195005E+03           0.                     393.320496E+06           787.777405E+06           891.374023E+06           499.278809E-03           383.427307E-03            10.3162193                8.72463036               1.59158814               1.31608832               1.11304176             203.046417E-03            10.0000038E+09          924.22345E-03            176.717117E-03  
                   7.47749996E+03           0.                     417.065796E+06           827.608032E+06           938.418335E+06           503.941406E-03           363.20282E-03             10.3162193                8.72463322               1.59158826               1.31608844               1.11304176             203.046432E-03            10.0000038E+09          924.22345E-03            176.717117E-03  
