
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                   5.34941626E-03          28.7806206               28.8068752               26.2528248E-03            3.31580257E-03         342.157074E-03           729.390442E+06            72.8784409E+03            1.38941216E+09         905.391357E+06           591.980103E+06            55.6484909E-06          208.613861E-06           947.412659E-09             4.49875641E-03           1.35261846E-03          -1.92753899E-03           1.01046312E-06           3.2801578E-03           -1.35261846E-03          -1.71892512E-03           1.95787871E-06           7.77891254E-03           0.                       1.00809431E+09          66.4160538E+12           31.2672596E-06           48.1466293E-03 
                   5.59903669E-03          28.56954                 28.5919647               22.4250145E-03            2.85156775E-03         346.981934E-03           731.81134E+06            -25.9516258E+03            1.37406754E+09         880.907166E+06           582.206848E+06            48.8842926E-06          270.96759E-06           -337.371582E-09             4.44563293E-03           1.24009049E-03          -1.59025025E-03         -79.4270782E-09            2.83034086E-03          -1.24009049E-03          -1.31928241E-03        -416.799591E-09             7.27597427E-03           0.                     995.561401E+06            57.1313553E+12           31.0379391E-06           47.8103752E-03 
                   5.84875774E-03          28.3584518               28.3774376               18.987812E-03             2.43086028E-03         351.806702E-03           736.408447E+06           -62.7251892E+03            1.35891855E+09         854.243286E+06           572.757019E+06            42.6574821E-06          366.486908E-06          -815.42981E-09              4.41280365E-03           1.13241374E-03          -1.28695107E-03        -362.175354E-09             2.41936469E-03          -1.13241374E-03        -920.464233E-06            -1.17760563E-06           6.83216858E-03           0.                     983.218689E+06            48.7172012E+12           30.8086166E-06           47.4738846E-03 
                   6.09856462E-03          28.168438                28.1846485               16.2088051E-03            2.08772373E-03         356.149963E-03           736.779236E+06           -44.5271873E+03            1.34178686E+09         829.072021E+06           564.547852E+06            37.6493034E-06          422.83197E-06           -578.853821E-09             4.35538197E-03           1.02273488E-03          -1.0578922E-03         -242.939453E-09             2.08062744E-03          -1.02273488E-03        -635.060364E-06          -821.794128E-09             6.43600941E-03           0.                     969.186157E+06            41.8544769E+12           30.6021824E-06           47.1707802E-03 
                   6.34844208E-03          27.9784241               27.9921303               13.708601E-03             1.7763679E-03          360.493103E-03           738.716309E+06            43.6491966E+03            1.32442379E+09         802.234863E+06           556.672852E+06            33.026104E-06           505.325745E-06           567.439514E-09             4.31242561E-03         918.19696E-06           -853.069336E-06           450.278961E-09             1.77126634E-03        -918.19696E-06           -347.743683E-06             1.01771998E-06           6.08369207E-03           0.                     955.138794E+06            35.6273537E+12           30.3957481E-06           46.8674812E-03 
                   6.59838295E-03          27.8184795               27.8301659               11.6898232E-03            1.52236843E-03         364.149109E-03           737.287903E+06           -20.8912811E+03            1.30621958E+09         777.583374E+06           549.892517E+06            29.3108578E-06          556.808411E-06          -271.586731E-09             4.25486422E-03         818.72876E-06           -698.864502E-06           -90.9967651E-09            1.51759315E-03        -818.72876E-06           -142.056122E-06          -362.58371E-09              5.7724576E-03            0.                     940.343811E+06            30.5473671E+12           30.2219849E-06           46.6120377E-03 
                   6.84836864E-03          27.658535                27.6684151                9.88623428E-03           1.29383111E-03         367.804871E-03           736.972534E+06           -31.2947006E+03            1.28792274E+09         752.192993E+06           543.499756E+06            25.9141655E-06          626.261292E-06          -406.830902E-09             4.20743704E-03         725.194214E-06          -563.177063E-06           -67.4415359E-09            1.28837144E-03        -725.194214E-06            63.0842667E-06         -474.271729E-09             5.49580908E-03           0.                     925.709839E+06            25.9766235E+12           30.0482178E-06           46.3564529E-03 
                   7.09840298E-03          27.5352173               27.5436287                8.41271973E-03           1.10496974E-03         370.623566E-03           734.243286E+06           -27.3436241E+03            1.26989853E+09         729.634583E+06           537.974304E+06            23.1577873E-06          668.44342E-06           -355.468719E-09             4.1502018E-03          638.485779E-06          -460.327606E-06          -123.748589E-09             1.09881341E-03        -638.485779E-06           208.115738E-06          -479.214569E-09             5.24901485E-03           0.                     911.241821E+06            22.1993942E+12           29.9142532E-06           46.1593132E-03 
                   7.34847403E-03          27.4118958               27.418993                 7.09688425E-03         935.372864E-06           373.44223E-03            732.133362E+06            25.7661877E+03            1.25169456E+09         706.545837E+06           532.81604E+06             20.649044E-06           724.237183E-06           334.961456E-09             4.10138607E-03         557.918579E-06          -370.312378E-06           162.599014E-09           928.231018E-06          -557.918579E-06           353.924805E-06           497.558136E-09             5.02961779E-03           0.                     896.798035E+06            18.8074608E+12           29.7802734E-06           45.9620895E-03 
                   7.59857512E-03          27.3240452               27.330061                 6.0134697E-03          794.262878E-06           375.450378E-03           728.525146E+06           -19.2229996E+03            1.23463082E+09         686.517029E+06           528.363831E+06            18.6122017E-06          758.029419E-06          -249.90094E-09              4.04771614E-03         484.9758E-06            -301.672241E-06           -78.4039001E-09          786.647888E-06          -484.9758E-06             456.357178E-06          -328.303955E-09             4.83436394E-03           0.                     883.210266E+06            15.9852581E+12           29.6848335E-06           45.8215179E-03 
                   7.84870243E-03          27.2361851               27.24123                  5.0450654E-03          667.611755E-06           377.458557E-03           725.250854E+06             2.07095313E+03           1.21751261E+09         666.284546E+06           524.237976E+06            16.7636642E-06          800.922852E-06            26.9186573E-09            4.0006237E-03          417.642487E-06          -241.8918E-06              47.5918121E-09          659.53418E-06           -417.642487E-06           559.031128E-06            74.5062637E-09            4.6601572E-03            0.                     869.689575E+06            13.4522371E+12           29.5893841E-06           45.680912E-03  
                   8.09885216E-03          27.1782646               27.1825027                4.23737144E-03         561.080383E-06           378.78244E-03            721.085571E+06           -29.2093754E+03            1.20186126E+09         648.85437E+06            520.662659E+06            15.2288322E-06          826.875183E-06          -379.723175E-09             3.95191741E-03         357.372925E-06          -195.697586E-06           -85.9909058E-09          553.070557E-06          -357.372925E-06           631.177612E-06          -465.71405E-09              4.50498819E-03           0.                     857.255554E+06            11.3216085E+12           29.5264568E-06           45.588192E-03  
                   8.34902E-03             27.1203423               27.1238594                3.51490498E-03         465.520325E-06           380.106384E-03           717.065247E+06             9.30400753E+03           1.18623781E+09         631.369629E+06           517.370728E+06            13.8389263E-06          859.094727E-06           120.954834E-09             3.90871525E-03         302.072357E-06          -155.591721E-06            48.772049E-09           457.664124E-06          -302.072357E-06           703.502869E-06           169.726028E-09             4.36637926E-03           0.                     844.887329E+06             9.41040516E+12          29.4635296E-06           45.4954414E-03 
                   8.5991993E-03           27.0866051               27.0895061                2.90203762E-03         383.942169E-06           380.877563E-03           712.706604E+06           -30.493E+03                1.17225611E+09         616.4245E+06             514.492371E+06            12.6857328E-06          878.446167E-06          -396.410522E-09             3.86551785E-03         252.612717E-06          -124.023178E-06           -63.5186577E-09          376.635925E-06          -252.612717E-06           754.422913E-06          -459.931458E-09             4.24215364E-03           0.                     833.784851E+06             7.77884293E+12          29.4268799E-06           45.4414215E-03 
                   8.84939384E-03          27.0528641               27.0552158                2.35215521E-03         310.619568E-06           381.648743E-03           708.371399E+06           533.382812                 1.15834165E+09         601.491089E+06           511.849121E+06            11.617856E-06           902.045715E-06             6.93319178E-09           3.82685351E-03         207.323395E-06           -96.6170044E-06           24.4678516E-09          303.940399E-06          -207.323395E-06           805.428772E-06            31.4028072E-09            4.13079357E-03           0.                     822.747375E+06             6.3123908E+12           29.3902225E-06           45.3873901E-03 
                   9.0996027E-03           27.0357056               27.0375843                1.88064122E-03         247.503738E-06           382.041016E-03           703.971558E+06           -30.0266247E+03            1.14601648E+09         588.73877E+06            509.529602E+06            10.5906649E-06          915.98053E-06           -390.344208E-09             3.78927231E-03         166.966599E-06           -74.7243729E-06          -39.9825249E-09          241.690979E-06          -166.966599E-06           841.256165E-06          -430.331055E-09             4.03096437E-03           0.                     812.903992E+06             5.05007458E+12          29.3715801E-06           45.3598976E-03 
