
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                  25.E+03                  25.2421494               25.4290657              186.918732E-03            26.7901039E-03          423.03656E-03              8.84166622E+06         -38.5209999E+03          953.45575E+06            472.324585E+06           818.107361E+06             1.93002474E-03          -1.9712925E-03         -500.724152E-09             4.16869736E-03           1.04134595E-03         -22.66786E-03            -37.9328537E-06           23.7092113E-03           -1.04134595E-03         -24.6391602E-03          -38.434227E-06            27.8779049E-03            0.                     480.627563E+06           535.902161E+12            27.4230652E-06           42.4784698E-03 
                  26.E+03                  25.1801605               25.3799553              199.799438E-03            28.7040634E-03          424.453522E-03             8.86811256E+06         -43.1049995E+03          965.514587E+06           478.617798E+06           828.524475E+06             1.91395319E-03          -1.99333251E-03        -560.40155E-09              4.22486734E-03           1.06004059E-03         -24.3179398E-03          -34.6847801E-06           25.3779774E-03           -1.06004059E-03         -26.311264E-03           -35.245903E-06            29.6028423E-03            0.                     487.011444E+06           574.181335E+12            27.355711E-06            42.3785553E-03 
                  27.E+03                  25.1134129               25.3257332              212.329727E-03            30.5821533E-03          425.979309E-03             8.92084789E+06         -98.3294983E+03          976.80365E+06            484.454285E+06           838.253235E+06             1.87809145E-03          -2.013134E-03            -1.27821839E-06           4.27810574E-03           1.07783318E-03         -25.9373627E-03          -32.0675316E-06           27.0151939E-03           -1.07783318E-03         -27.9504967E-03          -33.3465309E-06           31.2933064E-03            0.                     492.871429E+06           611.74292E+12             27.2831974E-06           42.2709579E-03 
                  28.E+03                  25.0597439               25.284111               224.366089E-03            32.3822784E-03          427.205658E-03             8.97171593E+06        -155.160995E+03           987.154785E+06           489.791077E+06           847.171814E+06             1.80012882E-03          -2.03087187E-03          -2.01698995E-06           4.32731867E-03           1.09445405E-03         -27.4897404E-03          -30.1333504E-06           28.5841904E-03           -1.09445405E-03         -29.520607E-03           -32.1501884E-06           32.9115105E-03            0.                     498.075775E+06           647.745605E+12            27.2248993E-06           42.1844482E-03 
                  29.E+03                  25.0008316               25.2366581              235.823547E-03            34.112957E-03           428.552368E-03             9.01406479E+06        -199.552505E+03           996.708252E+06           494.712006E+06           855.407104E+06             1.73067319E-03          -2.04697514E-03          -2.59415531E-06           4.37303782E-03           1.11006176E-03         -28.9823532E-03          -28.7260036E-06           30.0924034E-03           -1.11006176E-03         -31.0293255E-03          -31.3216E-06              34.4654388E-03            0.                     502.843323E+06           682.35907E+12             27.1608906E-06           42.0894394E-03 
                  30.E+03                  24.9472675               25.1941833              246.923843E-03            35.7923279E-03          429.776794E-03             9.04799461E+06        -234.706497E+03             1.0056355E+09          499.311157E+06           863.107544E+06             1.67938137E-03          -2.06184459E-03          -3.05104899E-06           4.41597509E-03           1.12486625E-03         -30.4308472E-03          -27.7271023E-06           31.5557194E-03           -1.12486625E-03         -32.4926949E-03          -30.7762527E-06           35.9716988E-03            0.                     507.289978E+06           715.946899E+12            27.1026936E-06           42.0030327E-03 
                  31.E+03                  24.8968163               25.1545105              257.69458E-03             37.4262772E-03          430.92981E-03              9.0746069E+06         -266.492004E+03             1.01402199E+09         503.637756E+06           870.34613E+06              1.63393772E-03          -2.07571554E-03          -3.46433091E-06           4.45644283E-03           1.13894558E-03         -31.8402901E-03          -27.0753517E-06           32.9792404E-03           -1.13894558E-03         -33.9160042E-03          -30.540163E-06            37.4356804E-03            0.                     511.444336E+06           748.625549E+12            27.0478935E-06           41.9216805E-03 
                  32.E+03                  24.8487129               25.1169243              268.217224E-03            39.026947E-03           432.029297E-03             9.09255409E+06        -291.822998E+03             1.02197027E+09         507.747314E+06           877.212524E+06             1.60067821E-03          -2.08883905E-03          -3.79369879E-06           4.49486542E-03           1.15241599E-03         -33.2211838E-03          -26.6990395E-06           34.3735924E-03           -1.15241599E-03         -35.3100166E-03          -30.4928989E-06           38.8684502E-03            0.                     515.372986E+06           780.638977E+12            26.9956322E-06           41.844059E-03  
                  33.E+03                  24.8026695               25.0811825              278.518097E-03            40.5980263E-03          433.081879E-03             9.10403442E+06        -312.815002E+03             1.02953255E+09         511.66272E+06            883.750305E+06             1.57107389E-03          -2.1013062E-03           -4.06650352E-06           4.53147745E-03           1.16532516E-03         -34.5766563E-03          -26.5540447E-06           35.7419815E-03           -1.16532516E-03         -36.6779709E-03          -30.6190338E-06           40.2734566E-03            0.                     519.112671E+06           812.060608E+12            26.9456062E-06           41.7697563E-03 
                  34.E+03                  24.7585831               25.0472164              288.630005E-03            42.1439247E-03          434.089386E-03             9.11018181E+06        -331.141998E+03             1.03675759E+09         515.408508E+06           890.000732E+06             1.54589665E-03          -2.11321592E-03          -4.30482769E-06           4.5664916E-03            1.177724E-03           -35.9105606E-03          -26.6071301E-06           37.0882912E-03           -1.177724E-03           -38.0237808E-03          -30.9128094E-06           41.6547737E-03            0.                     522.683655E+06           842.978455E+12            26.8977203E-06           41.6986046E-03 
