
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                   5.57230425E-03          27.5668697               27.6006584               33.7908478E-03            4.44822884E-03         369.900177E-03           203.270203E+06            -3.80423427E+03         385.782623E+06           291.125305E+06           158.09697E+06             67.2388E-06             989.088745E-09           -49.4555931E-09            1.18731976E-03         572.047302E-06            -3.49111772E-03        -183.96167E-09              4.06316519E-03        -572.047302E-06            -3.49012899E-03        -233.416367E-09             5.25048494E-03           0.                     293.392731E+06            89.0645828E+12           29.9486389E-06           46.2099152E-03 
                   5.82149982E-03          27.5351238               27.5641441               29.0202045E-03            3.82435417E-03         370.625793E-03           204.176376E+06            -3.75040627E+03         382.042999E+06           289.191986E+06           154.086807E+06            59.4592018E-06           14.0293655E-06          -48.7550583E-09            1.17016232E-03         566.631104E-06            -2.95072889E-03        -266.589478E-09             3.51735997E-03        -566.631104E-06            -2.93669987E-03        -315.342712E-09             4.68752241E-03           0.                     291.803711E+06            76.5870819E+12           29.9141502E-06           46.1591644E-03 
                   6.07081509E-03          27.4971085               27.5225544               25.4473324E-03            3.35673475E-03         371.49472E-03            204.411636E+06            -2.08724999E+03         378.001221E+06           286.389465E+06           150.410126E+06            53.229496E-06            25.4722099E-06          -27.1342068E-09            1.15380418E-03         558.328125E-06            -2.54759073E-03        -167.299042E-09             3.10591888E-03        -558.328125E-06            -2.52211857E-03        -194.433594E-09             4.25972319E-03           0.                     289.600769E+06            67.2346954E+12           29.8728485E-06           46.098362E-03  
                   6.3202343E-03           27.4590874               27.480957                21.8655624E-03            2.88794017E-03         372.363678E-03           204.642227E+06             1.37157035E+03         373.950684E+06           283.576904E+06           146.736923E+06            46.9794617E-06           36.9199028E-06           17.8301888E-09            1.13742459E-03         549.995056E-06            -2.14344931E-03          20.6733246E-09            2.69344449E-03        -549.995056E-06            -2.10652924E-03          38.5031166E-09            3.83086872E-03           0.                     287.389893E+06            57.8588028E+12           29.8315449E-06           46.037571E-03  
                   6.56974697E-03          27.4151535               27.4343796               19.2241993E-03            2.54184532E-03         373.36795E-03            204.273651E+06             2.93150401E+03         369.697144E+06           279.771362E+06           143.442474E+06            41.8974838E-06           47.1655006E-06           38.1098175E-09            1.12241817E-03         537.900635E-06            -1.84806979E-03          55.2654457E-09            2.38597059E-03        -537.900635E-06            -1.80090427E-03          93.3732758E-09            3.50838876E-03           0.                     284.58075E+06             50.9369049E+12           29.7838116E-06           45.9672852E-03 
                   6.8193264E-03           27.3712177               27.3877945               16.5792847E-03            2.19528055E-03         374.372253E-03           203.90892E+06              1.83116996E+03         365.448303E+06           275.956238E+06           140.168854E+06            36.8019447E-06           57.4376793E-06           23.8053417E-09            1.10744405E-03         525.745361E-06            -1.55231404E-03         -61.8108559E-09            2.07805967E-03        -525.745361E-06            -1.49487674E-03         -38.0059624E-09            3.18550324E-03           0.                     281.771179E+06            44.0056114E+12           29.7360802E-06           45.8969955E-03 
                   7.06898069E-03          27.3230801               27.3377495               14.6658869E-03            1.94419575E-03         375.472443E-03           203.007294E+06             4.28584385E+03         361.064056E+06           271.165833E+06           137.312088E+06            32.6821899E-06           66.6918106E-06           55.7156448E-09            1.09406054E-03         509.722107E-06            -1.34195983E-03         -85.7053223E-09            1.85168183E-03        -509.722107E-06            -1.27526808E-03         -29.9896793E-09            2.94574261E-03           0.                     278.412415E+06            38.9839096E+12           29.6837845E-06           45.8199806E-03 
                   7.31868649E-03          27.2749462               27.2876987               12.751833E-03             1.69302666E-03         376.572693E-03           202.103882E+06             7.09231234E+03         356.681396E+06           266.364838E+06           134.500534E+06            28.5603199E-06           75.9499512E-06           92.1991196E-09            1.08070409E-03         493.646271E-06            -1.13156545E-03         -45.85672E-09              1.62521172E-03        -493.646271E-06            -1.05561554E-03          46.3405724E-09            2.70591569E-03           0.                     275.050018E+06            33.9605331E+12           29.6314907E-06           45.7429466E-03 
                   7.56844139E-03          27.2264576               27.2378521               11.3952332E-03            1.514642E-03           377.681061E-03           200.763367E+06            10.8804064E+03          352.253815E+06           260.911072E+06           132.118515E+06            25.3491211E-06           84.069519E-06           141.445068E-09             1.06875765E-03         475.02948E-06           -986.328491E-06           -69.3189545E-09            1.46135783E-03        -475.02948E-06           -902.258911E-06            72.126564E-09             2.53011537E-03           0.                     271.309448E+06            30.3928394E+12           29.5788136E-06           45.6653328E-03 
                   7.81823301E-03          27.1779633               27.1879997               10.0354013E-03            1.33583462E-03         378.789368E-03           199.414124E+06            14.9021015E+03          347.814972E+06           255.447311E+06           129.7966E+06              22.1389885E-06           92.1772919E-06          193.727371E-09             1.05678248E-03         456.392883E-06          -840.744873E-06           -84.8285675E-09            1.29713786E-03        -456.392883E-06          -748.567627E-06           108.901527E-09             2.35392022E-03           0.                     267.558807E+06            26.8166924E+12           29.5261345E-06           45.5877113E-03 
